Nom;C009;;
;;;
Id box;Longueur;Hauteur;Prix
B00;590;240;125
B01;650;180;95
B02;780;320;220
B03;1200;240;245
B04;800;330;260
B05;820;360;255
B06;1450;260;340
B07;970;420;375
B08;1350;320;420
B09;1720;480;925
B10;750;300;250
;;;
Id produit;Longueur;Hauteur;Quantite
P000;315;70;21
P001;100;80;12
P002;135;115;24
P003;160;145;10
P004;255;70;13
P005;315;35;12
P006;270;100;22
P007;115;180;17
P008;310;55;13
P009;200;150;20
P010;120;70;14
P011;270;85;15
P012;100;60;12
P013;185;110;20
P014;150;40;12
P015;180;75;24
P016;190;70;15
P017;180;170;18
P018;90;165;24
P019;85;150;24
P020;135;50;16
